DATE,TMAX,PRCP,TMIN
2025-02-19,10.36,0,0.4
2025-02-18,7.0,    0,0.2
2025-02-17,10.6,    0,-0.5166666666666666
2025-02-16,12.7,   30,-0.8770833333333333
2025-02-15,14.1,    0,0.3
2025-02-14,8.587272727272728,0,-1.059375
2025-02-12,8.334405594405593,0,-0.7
2025-02-11,7.4,    0,-1.059375
2025-02-10,8.8,    0,-1.8
2025-02-09,7.1,    0,-1.5
2025-02-08,4.0,   41,-3.4
2025-02-07,6.2,   20,-0.22897727272727264
2025-02-06,6.2,    0,-2.7
2025-02-05,5.3,    0,-0.09894111570247927
2025-02-04,7.1,    0,-0.04429939894815927
2025-02-03,11.5,    0,0.20231518438517404
2025-02-02,11.0,   30,4.9
2025-02-01,9.7,   20,3.0
2025-01-31,8.8,    0,1.5
2025-01-30,7.0,    0,0.9
2025-01-29,9.3,    0,1.8780976972485943
2025-01-28,9.7,    0,2.0578284984259643
2025-01-27,9.7,    0,1.9
2025-01-26,10.5,    0,2.3941751086976875
2025-01-25,10.3,    0,2.166372845852022
2025-01-24,14.6,    0,3.7
2025-01-23,10.850000000000003,0,2.7
2025-01-22,12.6,    0,2.0
2025-01-21,12.9,    0,2.0418376452975675
2025-01-20,13.5,   20,2.0402385599847275
2025-01-19,14.7,    0,1.8
2025-01-18,10.8,    0,1.9148449051134318
2025-01-17,8.0,    0,1.5451746463996117
2025-01-16,8.3,    0,1.5
2025-01-15,9.4,    0,1.1310996142541216
2025-01-14,10.5,    0,0.2
2025-01-13,9.8,    0,1.184668884159263
2025-01-12,9.2,    0,1.022982337493869
2025-01-11,7.2,    0,1.0
2025-01-10,4.7,    0,-1.9
2025-01-09,8.0,    0,0.8307955305370232
2025-01-08,8.0,    0,0.3
2025-01-07,9.3,    0,0.7338446752190155
2025-01-06,8.0,  130,3.5
2025-01-05,10.0,    0,0.1
2025-01-04,9.1,    0,0.6764640205756038
2025-01-03,11.0,    0,0.6441104226331642
2025-01-02,12.3,    0,1.1
2025-01-01,12.1,    0,1.1154419118427783
2024-12-31,14.0,    5,1.1969861030270563
2024-12-30,11.4,    0,0.8
2024-12-29,9.1,    0,0.3
2024-12-28,9.3,    0,1.2933002458078602
2024-12-27,11.3,    0,1.3408944257555324
2024-12-26,13.9,    0,1.4042384260393843
2024-12-25,10.8,    0,3.0
2024-12-24,9.3,    0,1.652951600052486
2024-12-23,9.2,    0,2.5
2024-12-22,8.3,    0,1.7576153914712718
2024-12-21,11.3,    5,1.6
2024-12-20,8.3,    0,1.2
2024-12-19,7.4,   25,2.0649823106875584
2024-12-18,10.214285714285714,0,2.5
2024-12-17,12.3,    0,2.7
2024-12-16,12.3,    0,2.3838725183780753
2024-12-15,9.9,    0,1.6
2024-12-14,7.4,   25,2.5589868026423304
2024-12-13,12.0,    0,2.8
2024-12-12,10.3,    0,3.017320135975664
2024-12-11,14.2,    0,3.096681621416339
2024-12-10,12.4,    0,4.0
2024-12-09,11.4,   10,3.5
2024-12-08,11.0,   20,3.781082380002861
2024-12-07,13.3,    0,3.8
2024-12-06,14.2,    0,3.9
2024-12-05,13.6,    0,4.4
2024-12-04,14.1,    0,5.34777640014192
2024-12-03,18.7,    0,7.2
2024-12-02,17.1,    0,5.5
2024-11-30,14.2,    0,6.503206531127199
2024-11-29,14.5,    0,7.285098293126912
2024-11-28,14.4,0,7.633608122439602
2024-11-17,23.1,    0,8.16088084971233
2024-11-16,19.6,    0,14.3
2024-11-15,20.1,    0,8.67116307240055
2024-11-14,20.1,    0,10.3
2024-11-13,20.9,    0,9.13539568688066
2024-11-12,23.7,    0,11.6
2024-11-11,22.8,    0,9.790104773143316
2024-11-10,22.3,    0,9.7
2024-11-09,20.9,    0,7.2
2024-11-08,18.1,    0,10.455184836936057
2024-11-07,14.8,    0,10.818068529696003
2024-11-06,20.0,    0,10.869875382665603
2024-11-05,22.2,    0,11.043323352244098
2024-11-04,25.0,    0,11.2
2024-11-03,22.7,    0,11.718645210154175
2024-11-02,20.6,  831,12.445917937426902
2024-11-01,23.1,  140,16.5
2024-10-31,21.1,    0,12.3
2024-10-30,22.3,  119,13.85777618824908
2024-10-29,19.2,   30,14.533242062552207
2024-10-28,21.5,  340,17.1
2024-10-27,26.3,    0,15.15959830894385
2024-10-26,24.3,    0,17.7
2024-10-25,25.6,    0,17.7
2024-10-24,24.3,    0,16.540965141795013
2024-10-23,28.9,   30,17.724298475128347
2024-10-22,26.414285714285715,    0,18.3
2024-10-21,24.6,    0,14.6
2024-10-20,21.1,    0,19.935405160488937
2024-10-19,26.5,  109,20.84620529057018
2024-10-18,27.1,    0,21.8
2024-10-17,29.5,    0,18.9
2024-09-17,36.4,    0,26.5
2024-09-16,34.5,    0,22.781800870921597
2024-09-15,35.6,    0,27.5
2024-09-14,35.2,    0,26.8
2024-09-13,33.85000000000001,0,27.0
2024-09-12,35.7,   51,24.623483405910136
2024-09-11,36.6,    0,25.8
2024-09-10,33.8,  180,25.19210702306931
2024-09-09,36.0,    0,25.4
2024-09-08,35.3,    0,25.25963253574828
2024-09-07,35.6,    0,24.8
2024-09-06,36.1,    0,24.2
2024-09-05,34.8,    0,24.0
2024-09-04,33.6,    0,22.9
2024-09-03,31.6,    0,24.639082173201952
2024-09-02,35.1,   89,24.9
2024-08-31,34.4,0,24.766523856550023
2024-08-30,34.58571428571428,0,24.910560602975195
2024-08-20,32.7,0,25.028742421157016
2024-08-19,32.2,    5,25.137075754490343
2024-08-18,37.1,    0,25.1
2024-08-17,33.4,    0,25.440165400697875
2024-08-16,32.9,    0,25.406389848913104
2024-08-15,36.8,   20,27.1
2024-08-14,37.9,    0,26.7
2024-08-13,37.6,    0,26.1
2024-08-11,36.0,    0,25.5
2024-08-10,34.9,    0,25.904655524961093
2024-08-09,37.5,    0,25.4
2024-08-08,36.6,    0,24.2
2024-08-07,36.7,    0,26.170465552496108
2024-08-06,36.4,    0,26.07751210774572
2024-08-05,35.5,    0,26.041148471382087
2024-08-04,35.8,  551,26.03579833241682
2024-08-03,38.7,    0,28.1
2024-08-02,38.7,    0,27.0
2024-08-01,38.3,    0,25.7
