Year,Green Buds,Florets Visible,Extension of Florets,Peduncle Elongation,Puffy White,Peak Bloom
2024,Mar 2,Mar 5,Mar 8,Mar 12,Mar 15,Mar 17
2023,Feb 23,Mar 1,Mar 7,Mar 11,Mar 18,Mar 23
2022,Mar 3,Mar 7,Mar 14,Mar 17,Mar 19,Mar 21
2021,Mar 11,Mar 16,Mar 22,Mar 24,Mar 26,Mar 28
2020,Feb 28,Mar 3,Mar 9,Mar 12,Mar 16,Mar 20
2019,Mar 5,Mar 17,Mar 23,Mar 25,Mar 29,Apr 1
2018,Feb 25,Mar 15,Mar 26,Mar 29,Apr 1,Apr 5
2017,Feb 24,Mar 1,Mar 6,Mar 8,Mar 22*,Mar 25*
2016,Mar 8,Mar 13,Mar 15,Mar 17,Mar 22,Mar 25
2015,Mar 18,Apr 1,Apr 4,Apr 6,Apr 8,Apr 10
2014,Mar 16,Mar 23,Mar 31,Apr 4,Apr 7,Apr 10
2013,Mar 11,Mar 17,Mar 26,Mar 31,Apr 4,Mar 31
2012,Feb 29,Mar 8,Mar 12,Mar 14,Mar 15,Mar 20
2011,Feb 28,Mar 9,Mar 16,Mar 19,Mar 22,Mar 29
2010,Mar 14,Mar 19,Mar 21,Mar 23,Mar 26,Mar 31
2009,Mar 3,Mar 12,Mar 18,Mar 23,Mar 27,Apr 1
2008,Feb 19,Mar 11,Mar 17,Mar 18,Mar 24,Mar 26
2007,Mar 5,Mar 20,Mar 25,Mar 27,Mar 28,Apr 1
2006,Feb 28,Mar 13,Mar 14,Mar 16,Mar 22,Mar 30
2005,Mar 7,Mar 22,Mar 31,Apr 3,Apr 4,Apr 9
2004,Mar 4,Mar 12,Mar 15,Mar 22,Mar 27,Mar 31
