FMTM,WSF2,WSF5,SNOW,PRCP,WT08,DATE,WDF2,AWND,WDF5,PGTM,WT01,TMAX,WESD,WT13,TMIN,WT16,WT14,WT18,WT22,WT04,WT06,WT09,WT15,WT17,WT02,WT19,WT03,WT05,WT11,TSUN,WT21,WV20,RHMX,ASLP,RHAV,ASTP,RHMN,AWBT,ADPT,WT07
,,,    0,    0,,2025-02-21,,,,,,1.7,,,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  157,   10,    0,,2025-02-20,  320,   59,  320,,,-1.0,,,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  134,    0,    0,,2025-02-19,  320,   66,  290,,,-0.5,,,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  183,    0,    0,,2025-02-18,  320,   87,  290,,,-2.1,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  183,  264,    0,    0,,2025-02-17,  290,  112,  300,,,3.3,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  165,  233,    0,  201,    1,2025-02-16,  260,   75,  260,,    1,9.4,,,1.1,,,,,,,,,,    1,,,,,,,,,,,,,,,
,   76,  103,   15,   94,,2025-02-15,   50,   40,   60,,    1,2.2,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  134,  179,    0,    0,,2025-02-14,  300,   76,  300,,,2.8,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  210,    0,   46,,2025-02-13,  290,   64,  290,,    1,8.3,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  121,   13,   25,,2025-02-12,   50,   51,   50, 1013,,2.2,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   72,   25,   30,,2025-02-11,  190,   20,  230, 1330,,2.2,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  116,    0,    0,,2025-02-10,  310,   51,  280, 1116,,3.3,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  143,    3,   13,,2025-02-09,  290,   44,  290, 1301,,2.2,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,   89,  147,,2025-02-08,  320,   36,  320, 0204,,2.2,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  143,  192,    0,    0,    1,2025-02-07,  310,   72,  310, 1308,    1,7.2,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  112,   10,   81,,2025-02-06,  120,   38,  130, 0804,,4.4,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  121,    0,    0,,2025-02-05,  320,   49,  310, 0736,,2.8,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  143,  201,    0,    0,,2025-02-04,  310,   75,  310, 1312,,10.0,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    0,,2025-02-03,  170,   26,  130, 1601,    1,9.4,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,   30,   25,,2025-02-02,   50,   40,   20, 0109,,0.0,,,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  170,    0,    0,,2025-02-01,  360,   60,   10, 0823,,10.0,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,   41,,2025-01-31,  240,   30,  240, 2139,,10.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  215,    0,    0,,2025-01-30,  310,   60,  300, 0016,,3.3,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  255,    0,    0,,2025-01-29,  300,   89,  290, 1604,,11.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  206,    0,    0,,2025-01-28,  300,   69,  290, 1131,,5.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  143,    0,    0,,2025-01-27,  240,   61,  220, 2342,,5.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  161,    0,    0,,2025-01-26,  270,   47,  260, 1023,,6.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  116,    0,    0,,2025-01-25,  230,   37,  220, 1618,,0.6,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  121,    0,    0,,2025-01-24,  300,   51,  270, 0031,,1.1,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2025-01-23,  260,   37,  260, 2307,,-1.0,,,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  116,    0,    0,,2025-01-22,  310,   36,  320, 0050,,-6.0,,,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  116,    0,    0,,2025-01-21,  310,   50,  310, 2241,,-6.6,,,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  148,    0,    0,,2025-01-20,  300,   70,  310, 0501,    1,-2.1,,,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  161,   91,   46,,2025-01-19,  350,   51,  340, 1842,    1,5.0,,,-3.2,,,,,,,,,,,,,    1,,,,,,,,,,,,
,   94,  139,    0,   28,    1,2025-01-18,  170,   42,  180, 0926,    1,7.8,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  112,    0,    0,,2025-01-17,  300,   43,  310, 0354,,6.7,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  116,    0,    0,,2025-01-16,  270,   47,  280, 2152,,-0.5,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  183,    0,    0,,2025-01-15,  310,   81,  310, 1157,,0.6,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  188,    0,    0,,2025-01-14,  300,   79,  310, 0630,,2.2,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  139,    0,    0,,2025-01-13,  260,   50,  270, 2150,,6.7,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   72,  112,    0,    0,,2025-01-12,  290,   41,  290, 0037,,6.1,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  165,,    5,,2025-01-11,  310,   49,  320, 1945,,2.2,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  165,    0,    0,,2025-01-10,  300,   59,  310, 0020,,5.0,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  174,  246,    0,    0,,2025-01-09,  300,  112,  310, 1405,,1.1,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  206,    0,    0,,2025-01-08,  300,  107,  320, 0626,,-0.5,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  179,  246,    0,    0,,2025-01-07,  320,  109,  310, 1217,,1.1,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  161,   13,   10,,2025-01-06,  340,   43,  320, 2241,,0.0,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  161,    0,    0,,2025-01-05,  310,   74,  280, 1420,,1.1,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  148,  210,    0,    0,,2025-01-04,  300,   99,  270, 1403,,1.1,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  165,    0,    0,,2025-01-03,  260,   64,  280, 0355,,4.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  201,    0,    0,,2025-01-02,  280,   91,  260, 1743,,6.7,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  165,  215,    0,    0,,2025-01-01,  300,   72,  310, 2047,    1,11.1,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,    0,  104,,2024-12-31,,,,,,11.7,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  165,    0,  107,,2024-12-30,  260,   68,  180, 0136,    1,14.4,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  170,    0,   56,    1,2024-12-29,  160,   45,  160, 2351,    1,15.6,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   36,   45,    0,  142,,2024-12-28,   50,   14,  210, 0020,    1,10.0,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   63,    0,    0,,2024-12-27,  160,   20,  190, 1715,,6.1,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   54,   63,    0,    0,,2024-12-26,  360,   24,  360, 0713,,3.3,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   76,    0,    0,,2024-12-25,   20,   36,  330, 1144,,2.2,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,   10,   15,    1,2024-12-24,  310,   43,  230, 0700,,4.4,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2024-12-23,   20,   30,   20, 0045,,-0.5,,,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  148,    0,    0,,2024-12-22,  310,   67,  310, 0837,,-5.5,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  148,  201,   71,   30,,2024-12-21,  320,   82,  320, 1910,,1.1,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  139,    0,   10,,2024-12-20,   50,   58,   60, 1214,,3.9,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  152,    0,   10,,2024-12-19,  310,   58,  310, 0454,,7.2,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   89,    0,   86,    1,2024-12-18,  340,   31,  330, 0058,    1,12.2,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  116,    0,   10,,2024-12-17,  270,   53,  270, 1439,    1,15.6,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  121,    0,  277,    1,2024-12-16,   40,   43,   40, 1524,    1,10.6,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   63,  107,    0,   13,,2024-12-15,  100,   37,   90, 1902,,6.1,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2024-12-14,   20,   31,   20, 0954,,1.7,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  121,    0,    0,,2024-12-13,  300,   51,  300, 0824,,1.1,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  148,  215,    0,    0,,2024-12-12,  260,   81,  240, 1201,,6.1,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  188,    0,  277,    1,2024-12-11,  300,   61,  320, 2150,,15.6,,,6.1,,,,,,,,,,    1,,,,,,,,,,,,,,,
,   72,  130,    0,   76,    1,2024-12-10,   50,   45,   60, 1613,    1,10.0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  121,    0,   41,    1,2024-12-09,   50,   30,   50, 1633,    1,11.1,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  170,    0,    0,,2024-12-08,  270,   48,  270, 1213,,12.8,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  139,    0,    0,,2024-12-07,  270,   60,  270, 0327,,5.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  188,    0,    0,,2024-12-06,  300,   82,  300, 0308,,2.2,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,  148,  224,    0,   28,,2024-12-05,  260,   84,  260, 1237,,10.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  201,    0,    5,,2024-12-04,  220,   54,  220, 2052,,5.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  174,    0,    0,,2024-12-03,  310,   55,  330, 1943,,6.1,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  116,    0,    0,,2024-12-02,  320,   56,  290, 2016,,5.0,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  152,    0,    0,,2024-12-01,  270,   60,  270,,,3.9,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  148,    0,    0,,2024-11-30,  260,   63,  270,,,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  134,    0,    0,,2024-11-29,  260,   57,  270,,,8.3,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  157,    0,  201,    1,2024-11-28,  300,   52,  310,,    1,10.6,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,    0,,2024-11-27,  270,   38,  300,,,11.7,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  121,    0,   64,    1,2024-11-26,  310,   44,  310,,    1,14.4,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  121,    0,    0,,2024-11-25,  280,   35,  260,,,13.3,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  192,    0,    0,,2024-11-24,  290,   77,  320,,,12.2,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  206,    0,    0,,2024-11-23,  310,   81,  300,,,10.6,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  197,    0,  132,,2024-11-22,  230,   59,  250,,,5.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  157,    0,  325,    1,2024-11-21,  300,   58,  300,,    1,12.2,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  143,    0,    0,,2024-11-20,  100,   36,  100,,,15.0,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   94,    0,    0,,2024-11-19,  320,   29,  310,,,16.7,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2024-11-18,  320,   52,  310,,,18.9,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  112,    0,    0,,2024-11-17,  320,   32,  310,,,17.2,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  148,    0,    0,,2024-11-16,  320,   72,  320,,,17.2,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,    0,    0,,2024-11-15,  320,   49,  310,,,15.0,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  107,    0,    0,,2024-11-14,   50,   38,   60,,,8.3,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  130,    0,    0,,2024-11-13,  360,   45,   10,,,10.6,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  188,    0,    0,,2024-11-12,  310,   83,  340,,,16.7,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  148,    0,   23,,2024-11-11,  240,   66,  260,,,20.6,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  112,    0,   18,,2024-11-10,  210,   30,  240,,,15.0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,  134,  183,    0,    0,    1,2024-11-09,  320,   50,  300,,,12.8,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
,  170,  224,    0,    0,    1,2024-11-08,  320,   60,  330,,,21.1,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  130,    0,    0,,2024-11-07,  310,   48,  310,,,23.9,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  125,    0,    0,,2024-11-06,  220,   51,  210,,,27.2,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  116,    0,    0,,2024-11-05,  230,   39,  220,,,23.3,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,  103,    0,    0,,2024-11-04,  170,   34,   60,,,15.0,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   98,    0,    0,,2024-11-03,   40,   32,   50,,,12.8,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,    0,    0,,2024-11-02,  330,   52,  320,,,16.1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  161,    0,    0,,2024-11-01,  280,   59,  250,,,27.2,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   72,  112,    0,    0,,2024-10-31,  210,   36,  230,,,28.3,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   94,    0,    0,,2024-10-30,  230,   30,  230,,,25.6,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  130,    0,    0,,2024-10-29,  130,   43,  130,,,17.8,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,
,   63,  107,    0,    0,,2024-10-28,   60,   26,   60,,,16.1,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2024-10-27,  320,   39,  320,,,15.0,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  165,    0,    0,,2024-10-26,  310,   59,  290,,,18.3,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  121,    0,    0,,2024-10-25,  350,   39,  340,,,18.3,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  125,    0,    0,,2024-10-24,  350,   55,  340,,,21.1,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,
