DATE,PRCP,TMAX,TMIN,SNOW,WSFG,WDFG
2025-02-21,   25,8.7,5.5,,,
2025-02-20,   10,9.7,5.9,,,
2025-02-19,   89,9.9,4.1,,,
2025-02-18,    0,7.18,0.5600000000000002,,,
2025-02-17,   36,7.18,0.5599999999999999,,,
2025-02-16,   61,6.72,0.16500000000000026,,,
2025-02-15,    0,6.0,-4.7,,,
2025-02-14,    0,6.72,0.16500000000000029,,,
2025-02-13,    0,6.5,-0.4277777777777778,,,
2025-02-12,    0,5.459999999999999,-1.8977777777777778,,,
2025-02-11,    0,1.6,-8.0,,,
2025-02-10,    0,4.775555555555554,-2.837283950617284,,,
2025-02-09,    5,3.5,-2.6,,,
2025-02-08,    0,4.395061728395062,-3.54420438957476,,,
2025-02-07,    0,4.216735253772291,-3.415782655083067,,,
2025-02-06,    0,4.22473525377229,-3.852282655083067,,,
2025-02-05,    0,-0.7,-8.8,,,
2025-02-04,  104,3.834676421277244,-4.449950405595354,,,
2025-02-03,   25,4.082973801419159,-4.055500450661504,,,
2025-02-02,   46,5.7,-2.8,,,
2025-02-01,   76,4.435418245863604,-4.531772055599776,,,
2025-01-31,  127,4.439453897610458,-4.630528822202278,,,
2025-01-30,    0,6.8,-4.2,,,
2025-01-29,    0,4.581138396924588,-4.524341066732629,,,
2025-01-28,    0,5.061241887554096,-4.135644800071958,,,
2025-01-27,    0,5.200018852447659,-4.198148932939012,,,
2025-01-26,    0,5.8,-5.1,,,
2025-01-25,    0,6.0,-5.1,,,
2025-01-24,    0,5.548487752878067,-4.099055301828823,,,
2025-01-23,    0,4.6,-2.6,,,
2025-01-22,    0,5.4,-3.5,,,
2025-01-21,    0,5.664522590261803,-3.775713548621799,,,
2025-01-20,    0,5.5,-5.2,,,
2025-01-19,    0,6.026084195261656,-3.131230737537552,,,
2025-01-18,    0,6.2,-3.7,,,
2025-01-17,    0,7.0,-2.3,,,
2025-01-16,    5,6.499277445040267,-1.985149560473796,,,
2025-01-15,    0,6.645375710043364,-1.9378533728179346,,,
2025-01-14,    0,6.0,-1.6,,,
2025-01-13,    0,7.0,-1.6,,,
2025-01-12,   33,7.6,1.0,,,
2025-01-11,    0,8.1,1.0,,,
2025-01-10,   86,8.0,-0.2,,,
2025-01-09,    0,7.4,-0.2,,,
2025-01-08,   13,7.062114642503615,0.005178885598505471,,,
2025-01-07,    0,6.2,-0.6,,,
2025-01-06,    0,8.2,-0.6,,,
2025-01-05,   89,7.2511013311366925,0.6913798986907732,,,
2025-01-04,   61,7.2,1.5,,,
2025-01-03,   51,7.131321597364031,0.6296558784289278,,,
2025-01-02,    0,5.9,0.5,,,
2025-01-01,    0,6.5,2.8,,,
2024-12-31,   91,8.008242292850072,1.80210357771197,,,
2024-12-30,  112,7.6,2.4,,,
2024-12-29,    0,8.38906652213508,2.512313935483167,,,
2024-12-28,  109,8.77533003748629,2.8221884901476426,,,
2024-12-27,   18,8.918541859075951,2.942387443797428,,,
2024-12-26,  437,9.274265059295617,3.306582787261684,,,
2024-12-25,    3,11.2,5.5,,,
2024-12-24,   56,12.9,5.2,,,
2024-12-23,   61,9.859745770726631,3.68940660515363,,,
2024-12-22,   43,10.2,4.1,,,
2024-12-21,   36,11.5,4.1,,,
2024-12-20,   64,10.34114115355438,4.0853069851102495,,,
2024-12-19,   18,11.4,5.0,,,
2024-12-18,  488,10.41826244766191,3.8886103263876253,,,
2024-12-17,   18,10.118262447661909,3.296943659720958,,,
2024-12-16,   41,8.3,2.7,,,
2024-12-15,    5,10.1,3.8,,,
2024-12-14,   89,10.1,4.6,,,
2024-12-13,   51,9.85647217073985,3.09757174760157,,,
2024-12-12,    0,8.7,0.0,,,
2024-12-11,    0,9.432749755505306,2.465260477809179,,,
2024-12-10,    0,7.6,-1.6,,,
2024-12-09,    0,8.7,3.6,,,
2024-12-08,   18,11.0,4.1,,,
2024-12-07,  180,11.5,3.7,,,
2024-12-06,    0,8.699020175113196,0.8511665659464316,,,
2024-12-05,    0,8.43598082755154,0.6180355869796342,,,
2024-12-04,    0,6.8,-1.6,,,
2024-12-03,    0,7.3,-2.4,,,
2024-12-02,    0,8.3,-2.4,,,
2024-12-01,0,8.623500100266472,0.9169202152926065,,,
2024-11-30,    0,8.787136463902838,0.9805565789289701,,,
2024-11-29,    0,6.5,0.4,,,
2024-11-28,    0,6.7,0.3,,,
2024-11-27,   10,8.511063656416932,0.8897476794221575,,,
2024-11-26,    0,8.682170022058623,1.1387224473643733,,,
2024-11-25,    5,8.820387024264486,1.4925946921008109,,,
2024-11-24,   25,11.0,5.6,,,
2024-11-23,    0,12.8,4.8,,,
2024-11-22,   56,9.773965518430911,3.22918771080794,,,
2024-11-17,  282,10.071598747379177,3.486386593608662,,,
2024-11-16,    5,8.3,2.3,,,
2024-11-15,    0,10.795283755648471,4.4860810403528895,,,
2024-11-14,   97,10.987385004156637,4.790386366988209,,,
2024-11-13,  185,11.6,4.8,,,
2024-11-12,   58,12.0,4.8,,,
2024-11-11,  183,12.6,9.0,,,
2024-11-10,   18,11.215426750718429,5.336285400094975,,,
2024-11-09,  257,13.1,8.7,,,
2024-11-08,    0,11.639809551052355,5.981275280743607,,,
2024-11-07,    0,11.724262130592743,6.130794704782679,,,
2024-11-06,    0,11.698136221123956,6.122577762329206,,,
2024-11-05,    0,11.7,4.9,,,
2024-11-04,   38,11.0,6.1,,,
2024-11-03,   18,12.13146955445729,6.414244428995873,,,
2024-11-02,  191,12.207806454768862,6.504074348070947,,,
2024-11-01,  104,11.4,6.9,,,
2024-10-31,  175,12.146806196745239,5.972640937014892,,,
2024-10-30,    0,10.7,4.7,,,
2024-10-29,    0,13.0,4.7,,,
2024-10-28,   33,13.2,8.4,,,
2024-10-27,   71,15.2,9.0,,,
2024-10-26,   89,12.786782968319464,6.2706104804623495,,,
2024-10-25,    0,11.8,1.8,,,
2024-10-24,    0,13.036132430422057,6.170270951456437,,,
2024-10-23,    0,13.0,3.6,,,
2024-10-22,   13,13.618576283228458,6.511740119326565,,,
2024-10-21,  122,13.8,7.9,,,
2024-10-20,  381,14.2,9.5,,,
2024-10-19,  772,14.11286288017909,6.459329231931395,,,
2024-10-18,   25,11.9,6.1,,,
2024-10-17,   28,14.7,6.1,,,
2024-10-16,   38,14.743143916340752,6.947106935125797,,,
2024-10-15,   43,16.8,8.6,,,
2024-10-14,    0,19.6,8.5,,,
2024-10-13,    0,15.705600679651983,7.61064361670572,,,
2024-10-12,    0,15.914691588742892,7.556098162160265,,,
2024-10-11,    0,16.07849419861233,7.655804428544709,,,
2024-10-10,   41,15.7,6.2,,,
2024-10-09,    3,16.634193038334793,7.966965314253651,,,
2024-10-08,    3,19.2,8.8,,,
2024-10-07,    0,16.484816318667452,7.571773774696758,,,
2024-10-06,    0,16.1,8.9,,,
2024-10-05,    0,16.5,8.9,,,
2024-10-04,   28,16.499750355561456,7.509454351749513,,,
2024-10-03,    0,16.62897815568761,7.62256304006363,,,
2024-10-02,    8,16.920644822354273,8.130896373396963,,,
2024-10-01,    0,14.7,5.6,,,
2024-09-30,    0,15.2,5.6,,,
2024-09-29,    0,17.020781111133612,8.588576147100843,,,
2024-09-28,    0,18.4,7.9,,,
2024-09-27,   28,17.189179537061413,8.54595749269258,,,
2024-09-26,  218,17.5,8.9,,,
2024-09-25,  206,19.2,12.3,,,
2024-09-24,    0,19.3,12.3,,,
2024-09-23,   36,17.791814604381365,9.312230330890312,,,
2024-09-22,    0,17.3,9.4,,,
2024-09-21,    0,17.6,8.7,,,
2024-09-20,    0,18.216454012858435,10.250744347598443,,,
2024-09-19,    0,19.0,10.3,,,
2024-09-18,    0,18.655297147021802,10.587543152589888,,,
2024-09-17,    0,18.0,9.9,,,
2024-09-16,    0,18.842142342205605,10.60459253009806,,,
2024-09-15,   15,18.7,12.1,,,
2024-09-14,  160,19.66782445850715,11.4785733358572,,,
2024-09-13,    0,18.8,11.0,,,
2024-09-12,    0,20.347105328977882,11.830892418212095,,,
2024-09-11,    5,21.3,10.9,,,
2024-09-10,    0,20.623370193608242,12.083096207651579,,,
2024-09-09,    0,21.9,14.2,,,
2024-09-08,    0,21.8,15.4,,,
2024-09-07,    0,23.2,13.8,,,
