FMTM,WSF2,WSF5,SNOW,PRCP,WT08,DATE,WDF2,AWND,WDF5,PGTM,WT01,TMAX,WESD,WT02,WT13,TMIN,WT16,WT14,WT11,WT18,WT22,WT09,WT04,WT15,WT06,WT17,WT03,WT05,TSUN,WT10,WT21,WT19,RHMX,ASLP,RHAV,ASTP,RHMN,AWBT,ADPT,WT07
,  130,  179,    0,    0,,2025-02-21,  320,   73,  330, 1040,,5.0,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  215,    0,    0,,2025-02-20,  310,   72,  290,,,0.0,,,,-4.3,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  112,    3,    0,,2025-02-19,  340,   39,  340,,,-2.7,,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  139,    0,    0,,2025-02-18,  340,   58,  320,,,3.3,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  268,    0,    0,,2025-02-17,  300,   74,  290,,,6.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,  170,  286,    0,  119,,2025-02-16,  300,   63,  300,,    1,18.9,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  107,    0,  119,,2025-02-15,  170,   28,  170,,    1,5.0,,,,1.7,,,,,,,    1,,,,,,,,,,,,,,,,,
,   89,  143,    0,    0,,2025-02-14,  340,   43,  330,,,6.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  157,  255,    0,   48,,2025-02-13,  310,   41,  290,,    1,13.9,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,    8,   36,,2025-02-12,   10,   33,   20, 0413,,2.8,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   72,  150,  152,,2025-02-11,   10,   25,   20, 2305,,3.9,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   98,    0,    0,,2025-02-10,  340,   40,  320, 1358,,8.3,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,   98,  134,    0,    0,,2025-02-09,  340,   50,  340, 1348,,8.9,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   89,    0,   13,,2025-02-08,  190,   29,  190, 2338,,3.3,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  152,    0,    0,,2025-02-07,  330,   50,  320, 1001,,12.2,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,  216,,2025-02-06,  210,   31,  210, 1250,,8.9,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   89,  107,    0,   13,,2025-02-05,   10,   28,   10, 0140,,5.0,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,  130,  174,    0,    0,,2025-02-04,  340,   56,  330, 1157,,17.8,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   58,    0,    0,,2025-02-03,  170,   17,  210, 0010,,11.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   81,    0,    0,,2025-02-02,   30,   30,   30, 0017,,4.4,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,  139,  192,    0,    0,,2025-02-01,  340,   60,  330, 0623,,11.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  116,    0,  196,,2025-01-31,  190,   40,  200, 1234,,12.2,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,   76,   94,    0,    0,,2025-01-30,  170,   28,  170, 1431,,12.2,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,  116,  192,    0,    0,,2025-01-29,  340,   54,  330, 1432,,17.8,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  152,    0,    0,,2025-01-28,  320,   35,  330, 1126,,12.2,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   89,    0,    0,,2025-01-27,  200,   27,  200, 1415,,10.6,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,
,   45,   63,    0,    0,,2025-01-26,  330,   19,  320, 1703,,10.6,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  103,    0,    0,,2025-01-25,  210,   30,  220, 1543,,5.6,,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,,
,   67,   98,    0,    0,,2025-01-24,  280,   24,  290, 1042,,5.0,,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   76,    0,    0,,2025-01-23,  220,   22,  220, 1209,,-0.5,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,
,   81,  103,    0,    0,,2025-01-22,  350,   33,  340, 0405,,-3.8,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,
,   76,  107,    0,    0,,2025-01-21,  330,   30,  330, 0456,,-4.3,,,,-8.8,,,,,,,,,,,,,,,,,,,,,,,,
,   94,  134,    0,    0,,2025-01-20,  330,   53,  300, 1159,,-1.6,,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,
,  112,  161,    8,   58,,2025-01-19,  340,   44,  340, 1650,,5.0,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    5,,2025-01-18,  200,   27,  200, 0151,,7.8,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,   63,   81,    0,    0,,2025-01-17,  180,   28,  170, 2253,,7.8,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
,   67,  107,    3,    3,,2025-01-16,  210,   33,  220, 1602,,2.8,,,,-6.6,,,,,,,,,,,,,,,,,,,,,,,,
,  103,  165,    0,    0,,2025-01-15,  330,   55,  290, 1002,,1.1,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,
,  125,  157,    0,    0,,2025-01-14,  340,   60,  340, 2339,,3.9,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   72,   98,    0,    0,,2025-01-13,  250,   25,  230, 1418,,10.6,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,   58,   81,    0,    0,,2025-01-12,  330,   23,  330, 1012,,6.7,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,  107,  174,   18,   18,,2025-01-11,  330,   48,  300, 1432,,3.9,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,
